PI,AA,AB,AG,LA,LB,LC,NR,GY,IP,AL,AR,SU,BA,AC,AH,TRI,TRII,DG,KD,CC,CP,CA,PP,PA,AA,NC,NA,HB
2HDW,90,108.74,90,46.264,136.337,48.134,367,-0.325,8.19,37.33,8.99,3.81,12.81,17.71,13.62,43.6,56.4,-16.7,5.30E-13,17,27,46,6,34,48,31.03,41.03,648
2HF9,90,90,90,43.463,68.107,155.84,226,-0.015,6.1,45.58,3.54,4.42,17.7,21.68,5.31,42.48,57.52,-10.3,2.90E-08,16,3,36,3,15,29,46.32,38.6,396
2HFK,90,90,90,108.051,131.076,57.512,319,-0.164,5.32,45.45,6.58,2.82,12.85,15.67,9.09,40.75,59.25,-5.9,4.40E-05,1,2,16,0,8,28,29.85,50.25,490
2HHM,90,90,120,86.2,86.2,154.3,276,0.037,4.91,40.58,6.52,6.52,11.23,19.57,11.96,48.19,51.81,-14.8,1.40E-11,12,10,48,1,21,46,30.99,39.44,527
2HIH,90,90,90,73.31,77.96,169.81,431,-0.728,6.72,32.48,9.74,2.09,16.24,21.81,14.39,38.75,61.25,-9.7,7.30E-08,3,1,9,5,20,33,30.28,36.26,774
2HJH,90,104.95,90,52.353,89.566,94.51,354,-0.248,8.82,33.33,9.6,5.08,16.1,19.21,10.73,45.2,54.8,-9.1,2.30E-07,8,10,10,1,10,12,28.95,35.93,508
2HU5,90,90,90,63.4,103.334,168.224,582,-0.09,5.73,43.13,7.73,2.41,12.71,15.81,12.71,46.74,53.26,-7.8,2.00E-06,8,17,16,3,11,40,34.88,40.74,1150
2HUM,90,108.13,90,55.306,55.907,80.292,164,-0.402,10.32,37.8,8.54,3.66,16.46,20.73,10.98,46.34,53.66,-8.3,8.50E-07,12,7,15,4,8,10,32.7,36.5,317
2I33,90,90,90,52.231,89.909,104.238,258,-0.854,6.87,31.01,10.08,1.55,18.6,24.81,10.85,37.98,62.02,-21.9,8.30E-17,20,27,56,18,59,75,41.29,30.32,531
2I3C,90,90,90,145.551,145.551,103.396,315,-0.292,6.5,34.6,9.21,4.76,15.56,20.95,8.89,46.03,53.97,-11.2,6.10E-09,10,10,18,2,18,44,31.85,36.3,507
2I4Q,90,90,90,141.898,141.898,141.898,336,-0.063,5.15,35.71,11.61,4.17,9.23,16.96,18.45,42.56,57.44,-7.5,3.40E-06,6,31,17,10,6,9,23.19,37.23,533
2I4R,90,90,90,47.398,77.827,117.786,102,-0.234,5.85,40.2,4.9,3.92,19.61,19.61,7.84,50,50,-4.8,3.20E-04,0,1,3,2,12,9,36.23,47.1,108
2I4W,90,90,90,57.6,85.911,46.349,99,0.203,9.29,47.47,5.05,4.04,11.11,17.17,9.09,52.53,47.47,-13.3,1.90E-10,5,5,12,11,45,77,24,48.67,159
2I5G,90,97.94,90,81.644,150.615,68.828,325,-0.21,5.85,39.38,8.62,4.31,13.85,20.92,10.15,46.77,53.23,-9.2,1.70E-07,14,7,31,8,12,12,32.47,41.77,626
2I7D,68.92,81.69,74.99,39.623,47.153,62.384,193,-0.418,6.63,34.72,8.81,3.11,18.13,20.73,7.77,54.4,45.6,-8.4,6.60E-07,4,4,18,2,14,36,39.86,37.32,356
2I8T,90,90,90,49.636,81.586,98.3,167,-0.348,5.04,34.73,13.17,1.8,13.17,23.35,9.58,47.9,52.1,-10.7,1.30E-08,9,28,18,8,26,28,31.19,42.2,255
2I9U,90,90,90,87.385,88.994,139.596,439,-0.286,8.32,33.71,10.93,4.33,15.49,20.05,12.07,41.69,58.31,-17.3,2.10E-13,28,11,51,6,25,37,35.12,32.44,841
2IER,90,90,120,101.206,101.206,122.24,271,-0.331,6.88,38.75,9.96,0.37,17.71,21.4,8.86,48.71,51.29,-6.1,3.30E-05,4,0,9,1,6,4,39.02,36.86,492
2IGI,90,90,120,91.55,91.55,111.18,180,-0.384,4.72,36.11,8.89,3.33,13.89,23.89,10.56,50.56,49.44,-13.1,2.40E-10,17,8,29,1,19,34,35.25,35.25,379
2IHY,90,102.21,90,51.972,74.832,68.818,279,-0.116,8.74,40.5,7.53,3.58,13.98,19.71,12.54,48.39,51.61,-10.6,1.80E-08,5,3,17,2,16,25,26.68,38.08,426
2IK6,90,99.62,90,51.654,93.191,69.379,286,-0.507,5.25,33.92,9.79,1.05,14.34,23.08,11.19,39.16,60.84,-7.5,3.20E-06,11,8,20,0,2,28,35.61,37.63,486
2IMZ,90,90,90,82.43,93.63,40.14,168,-0.198,6.4,44.05,6.55,1.19,17.26,17.86,8.33,47.02,52.98,-7.1,6.50E-06,18,6,18,0,3,6,37.38,42.23,250
2IOB,90,109.373,90,149.267,92.964,108.296,619,-0.342,4.94,36.83,10.5,3.23,12.92,23.26,8.89,49.43,50.57,-15.3,5.50E-12,4,12,31,4,36,75,31.27,38.21,1003
2IPH,90,90,90,49.497,84.106,121.471,181,0.134,8.22,41.99,7.73,5.52,11.6,11.6,16.02,42.54,57.46,-8.5,5.80E-07,0,3,18,1,13,37,22.44,47.64,318
2ISN,65.53,70.21,77.64,52.986,62.447,63.738,364,-0.248,5.45,39.56,6.04,2.75,14.29,20.33,11.54,45.33,54.67,-11.7,2.50E-09,10,9,23,2,24,49,32.54,42.89,548
2IUC,90,90,90,70.043,173.184,55.34,375,-0.085,5.23,37.87,9.6,2.4,10.4,18.67,18.93,33.87,66.13,-17.7,1.10E-13,1,9,34,19,52,61,29.49,30.77,735
2IW2,90,90,90,103.579,108.518,211.024,494,-0.138,5.9,37.85,9.11,5.87,13.56,17.81,11.54,46.76,53.24,-23.1,1.20E-17,29,34,66,13,55,57,31.66,41.56,960
2IW4,90,90,90,59.908,115.249,148.06,309,-0.108,4.39,42.39,4.85,2.59,11.65,26.86,9.39,48.87,51.13,-10.4,2.20E-08,8,8,37,2,12,29,38.14,37.65,628
2IXE,90,90,90,80.431,80.431,168.115,271,-0.149,7.05,42.07,6.64,2.95,12.55,18.45,12.18,46.49,53.51,-7.8,1.90E-06,1,6,7,17,23,11,21.53,41.96,443
2IYC,90,90,120,71.981,71.981,200.64,226,-0.486,9.14,28.32,11.95,6.19,17.7,23.89,9.29,49.56,50.44,-8,1.30E-06,0,3,10,0,8,18,35.44,31.33,431
2J62,90,90,90,130.254,145.92,152.571,594,-0.489,4.12,34.51,9.26,2.86,10.1,28.11,10.94,44.28,55.72,-9.2,1.90E-07,9,14,17,6,14,14,37.58,32.8,1194
2J73,90,112.01,90,106.528,37.037,54.91,103,-0.364,4.72,36.89,14.56,0.97,14.56,23.3,5.83,51.46,48.54,-5.5,8.60E-05,6,0,5,0,2,15,38.12,35.62,157
2J83,90,90,90,118.85,60.73,168.94,262,-0.323,4.17,33.21,9.92,4.2,8.78,24.43,13.74,40.84,59.16,-11.9,1.90E-09,10,10,27,4,17,14,24.87,39.3,475
2NN3,90,90,120,106.223,106.223,113.595,310,-0.474,7.09,31.94,8.71,5.16,15.48,20.65,14.19,39.68,60.32,-21.6,1.40E-16,7,25,20,13,70,43,28.91,33.92,354
2NO4,90,90,120,103.999,103.999,134.811,240,-0.361,5,36.25,10,4.17,13.33,22.5,10.42,45.42,54.58,-13.2,2.00E-10,9,2,30,1,22,31,33.78,35.81,459
2NYR,90,90.46,90,41.2,116.205,55.993,271,-0.221,8.33,38.75,8.12,4.43,14.76,15.5,11.44,42.8,57.2,-4.2,8.50E-04,0,3,1,1,4,14,27.2,47.15,441
2NZE,90,90,120,66.665,66.665,175.947,222,-0.265,7.98,40.99,5.86,0.9,15.32,20.72,13.96,42.34,57.66,-8.5,6.00E-07,3,6,26,1,2,21,33.45,32.01,429
2O08,90,90,90,86.83,166.51,73.41,188,-0.373,6.8,37.23,8.51,2.66,15.43,23.94,8.51,50.53,49.47,-10.2,3.40E-08,0,2,4,3,24,34,32.85,34.66,382
2O7M,90,90,90,69.088,69.088,93.04,156,-0.33,9.8,33.97,9.62,1.28,15.38,22.44,14.1,47.44,52.56,-9.5,1.10E-07,9,5,21,0,4,31,30.58,32.64,298
2OB3,104.86,93.27,97.81,43.362,45.374,79.211,330,0.08,7.15,43.64,7.58,2.12,12.12,15.45,14.85,44.85,55.15,-13,2.70E-10,10,10,37,8,28,37,28.75,44.72,767
2OBC,90,90,120,173.1,173.1,76.7,402,-0.35,7.33,39.55,5.47,3.98,15.17,19.65,10.7,48.26,51.74,-10.1,3.60E-08,6,7,31,2,12,61,24.77,44.84,502
2OGI,90,114.29,90,65.841,52.535,70.022,196,-0.419,5.64,38.78,10.2,2.04,16.33,21.94,7.65,46.94,53.06,-9.3,1.60E-07,0,0,5,2,20,39,40.88,30.29,392
2OHC,90,90,90,57.17,57.17,459.91,289,-0.313,7.48,34.95,14.53,3.11,14.19,18.69,11.76,50.17,49.83,-14.5,2.30E-11,33,17,47,1,9,40,33.18,35,466
2OM6,90,107.62,90,50.052,66.239,79.014,235,-0.206,5.87,39.15,8.09,2.98,16.17,22.55,8.94,51.49,48.51,-8,1.30E-06,22,4,18,1,6,10,40.73,39.21,450
2ONJ,90,98.23,90,160.961,104.447,181.391,578,0.196,7.25,43.6,9.34,1.56,12.28,19.55,11.07,49.13,50.87,-34.2,7.60E-26,38,46,114,34,96,170,25.06,44.68,1171
2OP9,90,103.2,90,52.314,96.798,67.877,302,-0.052,6.69,35.76,9.6,7.28,10.26,19.21,13.58,44.7,55.3,-15.5,4.60E-12,9,12,22,6,36,42,22.09,40,524
2OQC,90,90,90,110.963,307.956,56.003,327,-0.316,5.39,35.47,9.79,3.36,13.15,21.41,12.54,47.71,52.29,-7,7.10E-06,0,3,2,5,14,4,29.66,38.65,551
2OQD,90,125.89,90,58.912,98.458,46.72,122,-0.632,8.19,25.41,13.11,13.11,16.39,18.03,8.2,49.18,50.82,-9,2.50E-07,10,9,16,1,5,5,29.56,33.99,205
2OQL,104.75,93.13,97.97,43.528,45.367,79.113,331,0.102,7.06,43.81,7.55,2.11,11.78,15.71,14.8,45.02,54.98,-13.5,1.40E-10,11,10,37,8,29,36,28.12,44.74,730
2ORY,90,90,90,70.694,95.102,99.7,346,-0.193,8.39,36.71,10.12,4.62,13.87,17.92,11.85,44.22,55.78,-10.2,3.40E-08,6,8,22,11,23,62,32.64,37.96,589
2OSU,90,90,90,71.247,184.701,51.422,330,-0.075,5.4,40,8.79,5.15,11.52,19.09,10,47.88,52.12,-8.8,3.50E-07,7,6,20,4,11,40,26.29,42.25,485
2OWN,90,90,120,106.524,106.524,234.378,262,-0.212,4.98,35.11,9.54,3.05,11.83,20.99,14.5,51.91,48.09,-17,3.20E-13,24,7,54,0,18,44,27.91,36.43,457
2OWQ,90,90,120,85.197,85.197,139.725,238,-0.332,8.58,32.35,10.92,2.94,16.39,17.23,14.29,44.12,55.88,-6.1,3.20E-05,1,4,8,9,9,15,27.83,38.23,311
2P11,90,112.22,90,80.39,68.08,88.24,231,-0.213,6.09,38.1,9.96,4.76,15.15,19.05,8.23,51.52,48.48,-11.4,4.10E-09,6,5,30,1,20,34,32.42,42.51,369
2P4Z,90,90,90,77.197,138.31,52.959,284,-0.27,7.23,38.38,9.51,2.46,18.66,20.77,9.51,46.48,53.52,-11,8.50E-09,11,4,30,3,16,31,41.33,33.82,524
2P53,90,90,120,81.399,81.399,206.452,382,0.08,6.05,45.03,6.02,4.19,11.26,19.11,10.21,44.24,55.76,-11.5,3.90E-09,10,8,22,2,22,19,29.11,43.88,741
2P6M,90,90,90,85.145,92.101,109.793,177,-0.13,6.98,45.2,9.04,1.13,14.69,15.25,7.91,50.28,49.72,-4.6,4.50E-04,6,4,11,1,5,14,32.81,50.59,345
2P7O,90,90,90,68.579,68.579,56.835,133,-0.402,5.02,32.33,12.03,3.01,15.04,24.06,12.03,51.13,48.87,-14.2,3.70E-11,14,11,28,11,34,54,33.52,36.26,212
2PAQ,90,90,120,137.023,137.023,56.288,201,-0.232,5.84,36.82,7.96,4.48,14.93,23.38,8.96,49.75,50.25,-11.9,1.70E-09,20,14,28,8,22,47,33.58,40,325
2PCJ,90,90,90,48.49,70.81,120.824,224,-0.15,8.74,42.86,5.8,2.68,16.07,19.2,10.27,50.89,49.11,-4.3,7.60E-04,5,0,10,4,2,14,38.97,39.88,421
2PI7,90,90,120,68.316,68.316,245.018,312,-0.487,6.05,28.85,11.54,6.09,14.1,24.68,10.58,50.96,49.04,-7.3,4.40E-06,2,2,14,1,3,6,33.82,32.36,500
2POK,90,90,90,87.954,101.922,118.074,481,-0.378,4.83,37.01,9.56,2.49,13.72,23.28,9.98,47.82,52.18,-22.5,3.30E-17,15,30,61,14,59,98,36.07,35.57,861
2PRX,90,90,120,38.501,38.501,172.247,160,-0.116,5.91,41.88,6.88,6.25,11.88,18.13,8.75,44.38,55.63,-9.4,1.30E-07,0,2,23,2,18,33,21.51,51.16,176
2PUZ,90,112.27,90,140.913,64.371,103.876,419,0.002,4.89,46.3,5.49,3.1,10.98,18.14,11.69,42.72,57.28,-12.4,7.40E-10,5,10,21,4,34,62,32,45.89,818
2PYN,90,90,120,62.402,62.402,83.099,99,0.297,8.77,48.48,5.05,4.04,10.1,17.17,9.09,52.53,47.47,-13.9,6.60E-11,5,4,12,11,47,82,21.92,49.32,158
2PZ0,90,97.91,90,49.401,53.608,110.885,252,-0.239,6.45,38.1,8.33,3.97,18.25,20.24,7.54,47.22,52.78,-7.1,6.40E-06,8,0,18,0,7,37,43.85,37.22,435
2PZD,90,90,90,90.105,90.105,83.516,113,0.019,6.97,43.36,6.19,4.42,12.39,16.81,11.5,57.52,42.48,-7.7,2.30E-06,0,1,19,2,6,71,24.05,41.77,173
2PZF,90,90,90,43.152,92.662,106.471,228,-0.086,5.42,37.72,8.77,5.26,12.72,18.42,14.91,48.25,51.75,-10.2,3.30E-08,0,9,12,10,27,22,32.69,35.26,391
2Q0H,90,105.6,90,48.428,84.007,69.535,263,-0.198,6.85,38.4,5.7,6.08,17.11,19.77,8.75,47.15,52.85,-7.1,6.00E-06,7,7,23,0,5,17,37.14,41.71,416
2Q16,90,90,90,120.646,120.646,66.562,219,-0.2,6.65,43.38,5.02,2.28,15.07,16.89,12.79,40.18,59.82,-6.3,2.20E-05,3,6,14,2,8,17,27.8,47.46,346
2Q4Z,90,101.49,90,92.581,135.778,54.033,312,-0.263,6.37,34.94,8.97,4.81,14.74,20.19,9.94,44.55,55.45,-10.8,1.20E-08,7,15,22,0,15,44,31.21,38.02,514
2Q8X,90,91.89,90,169.481,80.579,79.054,331,-0.377,6.11,32.93,11.78,3.93,16.01,22.66,8.46,48.64,51.36,-6.4,2.00E-05,2,11,10,1,4,4,36.53,34.19,681
2QAI,90,90,90,55.814,55.814,159.177,111,-0.241,6.4,42.34,5.41,1.8,20.72,20.72,6.31,57.66,42.34,-5.2,1.60E-04,17,4,15,0,1,26,38.56,47.06,172
2QC2,90,103.28,90,51.286,96.516,67.65,308,-0.035,6.69,36.04,9.74,7.14,10.06,18.83,13.96,44.48,55.52,-15.9,2.20E-12,9,9,22,9,41,47,21.55,40.98,508
2QE8,90,90,90,115.831,135.562,51.519,343,-0.031,4.37,41.69,7.87,2.04,8.75,21.57,11.37,44.61,55.39,-5.9,4.60E-05,0,4,2,8,12,36,23.59,43.51,656
2QE9,90,90,90,53.184,53.184,251.364,178,-0.325,6.68,33.15,11.8,2.25,17.42,21.35,12.36,51.69,48.31,-12.9,3.70E-10,8,9,43,3,9,45,24.59,33.2,301
2QFR,90,90,90,148.03,148.03,160.09,424,-0.585,9.27,28.3,15.57,2.36,15.33,17.69,15.09,42.92,57.08,-16.4,8.70E-13,10,5,26,10,40,50,28.74,33.14,799
2QHD,90,90,120,62.096,62.096,124.252,122,-0.641,8.06,23.77,10.66,12.3,16.39,18.03,13.11,45.9,54.1,-8.5,5.90E-07,1,6,6,4,12,15,30.77,31.25,213
2QR4,90,90,90,133.142,133.142,171.619,587,-0.515,4.81,32.37,12.78,1.87,13.63,24.36,12.1,48.72,51.28,-10.5,2.00E-08,8,18,15,21,33,33,31.24,36.16,1036
2QR5,90,90,90,102.27,105.04,114.02,582,-0.081,5.59,43.3,7.73,2.41,12.54,15.81,12.71,46.74,53.26,-8.2,9.10E-07,7,17,28,3,8,46,34.7,40.71,1122
2QRR,90,118.48,90,103.134,47.78,53.347,101,-0.143,4.09,39.6,8.91,3.96,7.92,24.75,10.89,51.49,48.51,-7.6,2.50E-06,4,16,17,6,12,15,25.77,44.79,181
2QS8,90,90,90,144.846,144.846,101.029,418,-0.214,5.96,41.15,7.18,3.11,14.11,20.1,11,41.39,58.61,-7.5,3.40E-06,8,9,12,4,9,14,31.55,39.31,737
2QT3,90,90,90,102.969,102.969,225.558,403,-0.162,5.22,39.7,7.69,3.47,14.64,20.84,10.92,46.4,53.6,-15.7,3.20E-12,7,26,40,10,41,29,40,36.17,834
2QT7,90,90,90,31.756,66.799,73.131,91,0.019,4.99,46.15,4.4,1.1,9.89,23.08,13.19,52.75,47.25,-9.9,5.80E-08,3,3,6,5,21,11,22.3,41.01,168
2QTT,90,109.63,90,41.3,127.05,45.45,267,0.27,4.43,46.44,5.62,2.62,9.36,19.1,11.61,43.07,56.93,-9.8,6.70E-08,14,12,28,7,18,82,26.06,50.3,448
2QYN,90,90,90,58.1,80.626,163.315,328,-0.268,4.84,34.15,7.32,4.27,13.41,25.61,12.2,50,50,-10,4.70E-08,3,7,9,5,22,14,31.82,36.15,730
2QYV,90,90,90,173.922,84.293,123.204,487,-0.101,5.11,40.86,6.37,2.87,11.29,22.59,11.09,48.05,51.95,-10.8,1.30E-08,9,26,28,9,20,19,27.57,41.81,840
2R5W,90,90,90,124.909,163.152,180.792,352,-0.325,6.51,33.24,11.93,3.69,14.2,24.72,8.24,47.44,52.56,-11,8.60E-09,10,6,25,1,10,31,30.1,33.79,629
2R8Q,90,92.46,90,63.753,78.688,70.511,359,-0.2,5.62,35.93,10.03,4.74,13.37,20.89,12.26,47.63,52.37,-7,7.70E-06,0,2,8,2,10,29,31.91,38.76,738
2RB7,90,91.37,90,53.85,82.19,89.34,364,-0.174,5.57,42.58,5.49,4.95,14.01,19.78,9.34,46.15,53.85,-16.3,1.10E-12,15,15,43,12,40,26,30.98,41.76,659
2RD3,90,90,90,148.42,148.42,233.525,223,-0.099,5.05,35.43,13.9,4.48,9.87,22.87,11.66,51.57,48.43,-9.4,1.20E-07,9,4,9,4,13,12,24.68,37.5,509
2RKW,90,90,90,73.052,96.094,129.941,469,-0.216,6.35,41.36,7.04,2.99,13.65,19.4,10.02,46.27,53.73,-20.8,5.50E-16,23,16,75,3,36,47,30.7,43.63,659
2RL3,90,90,90,48.68,97.06,125.68,248,-0.27,7.5,36.69,9.68,2.82,12.9,21.37,13.31,45.97,54.03,-12.8,4.00E-10,23,11,30,2,12,11,31.88,33.33,496
2RSP,90,90,120,88.95,88.95,78.9,124,0.018,6.79,43.55,3.23,5.65,12.9,16.94,11.29,51.61,48.39,-14.9,1.10E-11,19,16,22,2,40,33,30.41,50.88,194
2V8D,90,97.12,90,61.117,77.143,108.228,474,-0.334,5.61,36.92,8.65,3.38,13.08,20.46,13.29,40.93,59.07,-20.9,4.50E-16,9,15,37,13,62,82,27.42,39.07,784
2VID,90,90,90,117.475,117.475,73.293,204,-0.518,9.59,35.29,10.29,0.49,15.2,21.08,12.75,35.29,64.71,-7,6.90E-06,8,2,11,0,0,10,32.72,33.46,374
2VJ1,90,103.01,90,52.231,97.76,67.709,309,-0.106,7,35.28,9.39,7.12,11.97,18.77,13.27,44.01,55.99,-13.2,2.10E-10,9,8,21,4,25,37,21.72,40.57,522
2VLD,90,90,90,78.966,100.688,157.686,251,-0.575,8.39,35.46,6.77,2.39,19.92,22.71,7.17,52.19,47.81,-20.8,5.80E-16,63,32,73,1,21,39,46.18,35.47,349
2VPH,90,90,90,36.489,71.015,71.598,100,-0.126,6.24,40,4,6,14,22,8,50,50,-6.6,1.40E-05,5,8,13,4,10,12,28,46.67,165
2VRN,90,90,90,65.838,88.562,64.088,190,-0.397,4.68,38.95,4.74,3.68,14.21,21.05,12.63,44.74,55.26,-10.6,1.70E-08,15,13,29,1,12,21,43.72,32.9,340
2VSW,90,90,90,70.451,69.128,61.017,153,-0.011,7.29,36.6,5.23,5.23,16.34,18.3,15.69,48.37,51.63,-8.5,5.50E-07,8,6,8,4,12,6,26.92,38.46,234
2VYA,90,90,120,103.69,103.69,253.87,587,-0.181,7.79,36.8,8.01,5.62,11.75,17.72,13.46,46.85,53.15,-11.8,2.20E-09,7,13,25,10,28,49,26.27,43.15,1160
2W11,90,97.23,90,127.589,58.082,51.192,206,-0.296,9.02,35.44,13.11,1.46,16.02,20.87,10.68,49.03,50.97,-9.1,2.10E-07,4,2,15,0,14,50,40.21,33.92,433
2W1V,90,90,120,90.268,90.268,54.059,276,-0.224,6.9,36.59,9.42,2.9,12.32,18.48,14.86,44.93,55.07,-20.2,1.50E-15,18,17,65,4,34,55,31.88,34.69,574
2W43,90,90,90,69.796,71.889,85.601,201,-0.251,8.6,35.82,13.43,1.49,15.42,21.39,10.45,49.75,50.25,-8.6,5.10E-07,2,2,11,0,15,48,40.57,34.52,451
2W4E,90,90,90,61.301,61.301,165.752,145,0.161,4.5,50.34,6.9,0.69,8.97,16.55,8.97,55.17,44.83,-9.3,1.60E-07,0,4,16,3,27,55,26.04,54.69,242
2W58,90,90,90,54.632,59.53,115.636,202,-0.411,8.71,34.16,9.9,4.46,16.83,21.78,8.91,52.48,47.52,-7.4,4.00E-06,7,4,14,0,5,12,35.64,36.73,289
2W5V,90,90,90,70.32,173.02,54.97,375,-0.096,5.25,37.87,9.6,2.4,10.67,18.93,18.4,33.87,66.13,-17.5,1.60E-13,2,11,37,17,49,61,32.84,30.1,737
2W9X,90,90,90,75.274,75.274,141.62,366,-0.412,8.23,35.25,9.84,1.64,14.21,20.77,12.84,40.71,59.29,-10.8,1.30E-08,13,10,23,1,8,11,24.89,36.88,609
2WAP,90,90,90,102.77,105.2,148.03,543,-0.062,8.19,38.31,8.47,5.52,10.87,17.13,12.89,48.07,51.93,-12.3,8.90E-10,7,14,24,9,29,48,26.58,41.82,1135
2WCZ,90,90,120,37.56,37.56,272.51,139,-0.133,9.72,40.29,12.23,2.88,15.83,16.55,7.19,48.2,51.8,-5.9,4.90E-05,1,1,11,0,9,70,37.08,43.82,194
2WGI,90,90,90,48.8,93.1,127.7,248,-0.25,7.41,37.1,9.68,2.82,12.5,21.37,13.31,45.97,54.03,-12.9,3.20E-10,25,11,31,2,12,12,31.25,34.66,416
2WGV,90,90,90,48.75,101.7,126.6,248,-0.281,7.41,36.29,10.08,2.82,12.5,21.37,13.71,45.97,54.03,-14.4,3.00E-11,26,14,38,2,13,15,32.37,31.79,497
2WJ9,90,90,90,57.9,67.64,80.61,181,-0.13,4.61,32.04,11.05,9.94,8.84,19.89,12.15,50.28,49.72,-14.2,3.90E-11,6,9,19,2,26,37,20.1,37.19,270
2WK4,90,90,90,132.613,132.613,150.582,515,-0.221,7.22,37.09,8.93,3.5,11.46,17.48,14.76,42.33,57.67,-16.9,4.00E-13,4,6,21,10,50,53,21.55,42.4,903
2WNW,90,90,90,92.6,162.3,169.6,447,-0.38,5.85,34.45,10.96,4.92,12.75,22.37,10.51,49.22,50.78,-10.9,9.70E-09,13,27,29,15,20,12,30.73,34.82,926
2WT9,113.19,88.25,115.61,46.64,46.89,59.48,235,-0.262,5.75,36.17,8.09,4.68,11.91,23.4,11.91,41.7,58.3,-11.5,3.60E-09,2,16,30,2,15,28,21.32,41.18,454
2WTN,90,127.74,90,144.279,48.177,97.035,251,-0.141,5.17,39.44,7.97,5.18,14.34,20.72,7.97,46.22,53.78,-9.2,1.70E-07,26,12,18,2,8,11,39.61,37.01,499
2WUF,90,90,90,111.883,117.971,180.893,291,-0.099,7.86,43.3,9.28,2.75,13.75,17.18,8.93,44.33,55.67,-4.6,3.90E-04,3,10,2,1,6,2,29.32,47.64,576
2WVT,90,108.73,90,104.83,85.16,121.285,443,-0.698,8.92,31.15,13.54,3.61,16.7,20.77,9.48,43.57,56.43,-10,4.90E-08,8,16,9,7,22,18,39.07,31.36,880
2X3B,90,90,90,57.855,60.196,183.612,343,-0.357,6.29,37.61,8.45,2.33,11.08,21.28,14.29,39.94,60.06,-13.8,7.20E-11,16,10,48,3,11,58,28.27,34.44,514
2X98,90,110,90,72.143,152.524,86.799,431,-0.258,4.12,42.23,6.96,0.93,8.35,21.58,15.31,36.43,63.57,-6.1,3.50E-05,9,7,5,0,0,3,30.51,37.5,841
2XGG,90,90,90,63.034,63.034,157.626,178,-0.078,7.41,41.57,5.62,3.37,15.17,16.85,12.92,42.13,57.87,-9.9,5.90E-08,2,8,5,6,26,43,28.87,40.21,281
2XI4,90,90,90,91.73,107.03,150.73,537,-0.291,6.03,33.15,12.1,4.28,11.73,20.67,12.1,44.32,55.68,-9.2,1.70E-07,8,2,8,4,13,25,29.13,34.23,988
2XPK,90,90,90,130.145,144.97,153.061,594,-0.492,4.12,34.34,9.26,3.03,10.1,28.11,10.94,44.28,55.72,-9.2,1.90E-07,9,15,17,5,13,13,38.01,32.32,1187
2XRE,90,90,120,71.981,71.981,200.64,230,-0.527,8.46,27.83,11.74,6.09,17.39,24.78,9.57,49.13,50.87,-8.3,8.90E-07,0,3,9,1,10,19,34.78,31.37,430
2Y1H,90,90,120,44.91,44.91,233.112,272,-0.175,6.88,40.81,5.15,2.57,14.34,22.06,8.82,51.1,48.9,-11.2,5.90E-09,16,12,29,5,17,29,36.62,37.26,489
2Y8E,90,133.12,90,116.52,42.71,86.86,179,-0.357,8.8,32.96,10.06,3.35,13.97,20.67,17.32,45.25,54.75,-10.8,1.20E-08,4,8,11,2,19,10,36.63,29.22,342
2YEQ,90,90,90,147.318,147.318,347.646,527,-0.663,8.89,30.93,11.76,2.09,15.37,21.82,12.71,40.04,59.96,-7.3,4.60E-06,9,12,14,9,7,3,30.77,34.78,1056
2YGK,90,107.17,90,67.74,80.28,67.67,339,-0.301,6.2,37.46,8.55,3.24,16.22,23.6,8.85,52.8,47.2,-14.1,4.30E-11,14,7,46,0,19,95,39.4,35.33,503
2YIJ,90,105.31,90,73.223,95.854,78.891,419,-0.51,5.53,33.65,10.74,2.86,15.04,22.43,10.98,46.3,53.7,-13.3,1.70E-10,11,8,34,0,20,22,33.57,37.36,701
2YML,90,90,90,43.84,68.34,159.73,236,-0.025,5.56,38.56,8.05,2.97,11.02,15.68,14.83,41.53,58.47,-15.9,2.30E-12,18,3,26,7,40,54,26.73,44.88,517
2YNB,90,90,120,79.35,79.35,178.67,306,0.104,6.66,38.24,8.82,6.86,8.82,17.97,16.01,44.12,55.88,-15.1,7.80E-12,4,8,18,22,51,42,17.55,41.8,564
2YNV,90,94.78,90,38.648,131.712,40.721,233,-0.313,5.3,37.77,8.15,1.72,12.88,19.31,15.88,41.63,58.37,-7.8,1.90E-06,10,0,15,0,2,32,30.48,36.64,341
2YY2,90,90,90,104.27,104.27,269.61,333,-0.257,4.95,28.83,10.51,9.01,13.21,22.82,9.91,51.95,48.05,-10.2,3.30E-08,5,11,15,2,18,12,33.7,36.14,708
2YYV,90,90,90,68.585,72.414,178.483,227,-0.026,6.77,40.97,5.73,3.08,14.54,19.38,13.22,46.7,53.3,-8.6,5.10E-07,19,9,26,1,2,35,37.37,36.7,424
2Z25,90,90,90,51.447,78.968,180.534,347,-0.116,6.14,37.75,7.78,4.61,13.26,19.31,11.24,46.97,53.03,-10.3,2.80E-08,12,19,14,0,16,47,29.15,41.7,647
2Z28,90,90,90,51.378,78.413,179.97,347,-0.116,6.14,37.75,7.78,4.61,13.26,19.31,11.24,46.97,53.03,-10,4.30E-08,12,20,14,1,16,48,29.64,41.63,640
